Transaction,Item,Price
 ne75ndsgs,latte,3.39
 ne75ndsgs,coffee,2.29
 ne75ndsgs,donut,1.99
 ne75ndsgs,donut,1.99
089gdgd7,latte,3.39
345235gg,latte,3.39
4524zhfsder2,sandwich,5.99
45k4nkn,coke,1.89
45k4nkn,salad,4.99
467fdfd,coffee,2.29
467fdfd,protein bar,2.49
46hg56zs,donut,1.99
546346gs,coffee,2.29
6z46524g,coffee,2.29
bfdthh66ff,protein bar,2.49
bfdthh66ff,diet coke,1.89
bngfztefs,diet coke,1.89
bngfztefs,salad,4.99
bngfztefs,ice tea,1.69
bngfztefs,sandwich,5.99
dasdsa,diet coke,1.89
dasdsa,salad,4.99
dasdsa,coke,1.89
dasdsa,sandwich,5.99
dfdfds,ice tea,1.69
dfdfds,sandwich,5.99
ds8f77fsd,coffee,2.29
dsds,coke,1.89
dsds,sandwich,5.99
dzh523564z,donut,1.99
eqrtz,ice tea,1.69
eqrtz,coke,1.89
eqrtz,sandwich,5.99
f77fdgh33g,latte,3.39
f77fdgh33g,skinny latte,3.39
fdf90dg,latte,3.39
fdgd866gd,latte,3.39
fdsf070,skinny latte,3.39
fdsf070,coffee,2.29
fdsfds9798,ice tea,1.69
fdsfds9798,salad,4.99
fdsgs7a7g,diet coke,1.89
fdsgs7a7g,sandwich,5.99
fgdh4w5,ice tea,1.69
fgdh4w5,salad,4.99
fgfdf,coke,1.89
fgfdf,sandwich,5.99
fgfdf,ice tea,1.69
g325626zgds,donut,1.99
g5236essw4,donut,1.99
g97adsgg,latte,3.39
gds8gds8g,diet coke,1.89
gds8gds8g,salad,4.99
gfg8sf,latte,3.39
gfsg7gdgd,coke,1.89
gfsg7gdgd,coffee,2.29
gh5663,skinny latte,3.39
gh5663,diet coke,1.89
gh5663,salad,4.99
gh5663,protein bar,2.49
gser532gd,donut,1.99
gsg5646435,coffee,2.29
gsgsgd,coffee,2.29
gsrz245643z4,coffee,2.29
gsz466zhds,skinny latte,3.39
gz46474,skinny latte,3.39
gz46474,protein bar,2.49
gz4w56z4gs,coffee,2.29
gze5t54gg,ice tea,1.69
gze5t54gg,salad,4.99
gze5t54gg,sandwich,5.99
h54543,coke,1.89
h54543,salad,4.99
h55nk5k,latte,3.39
hf54ghdf,latte,3.39
hf54ghdf,protein bar,2.49
hh525,latte,3.39
hj46357,ice tea,1.69
hj46357,salad,4.99
hr546z435v,coffee,2.29
hrew5324z,sandwich,5.99
huht646,coffee,2.29
huht646,protein bar,2.49
hz556zuwe,skinny latte,3.39
hz556zuwe,protein bar,2.49
hz556zuwe,coffee,2.29
hz556zuwe,donut,1.99
jd4356,coffee,2.29
jd4356,latte,3.39
jhg463gfg,diet coke,1.89
jhg463gfg,salad,4.99
jhg463gfg,sandwich,5.99
jhgr46,skinny latte,3.39
jhgr46,protein bar,2.49
jhgr46,latte,3.39
jhgr46,donut,1.99
jtrdgfbn,latte,3.39
jtrdgfbn,donut,1.99
kn646nml,coffee,2.29
kz6sn5,coffee,2.29
kz6sn5,latte,3.39
merklpot,coffee,2.29
merklpot,donut,1.99
mhjdvu,latte,3.39
mhjdvu,donut,1.99
mmrddj,latte,3.39
mmrddj,donut,1.99
mmrddj,coffee,2.29
mnere,ice tea,1.69
mnere,sandwich,5.99
mrjmfdru,latte,3.39
mrjmfdru,donut,1.99
mrjmfdru,coffee,2.29
mtrzrddfh,donut,1.99
mtrzrddfh,coffee,2.29
n535jg5,latte,3.39
nerer646hs,ice tea,1.69
nerer646hs,sandwich,5.99
nerer646hs,coke,1.89
nerer646hs,sandwich,5.99
nffd,ice tea,1.69
nffd,coke,1.89
nmsde38sks,latte,3.39
nmsde38sks,coffee,2.29
nmsde38sks,donut,1.99
nmsde38sks,donut,1.99
rerh33t,ice tea,1.69
rerh33t,sandwich,5.99
rerh33t,coke,1.89
rerh33t,sandwich,5.99
rgt356z3g,sandwich,5.99
s24542zs,skinny latte,3.39
sdads,coke,1.89
sdads,sandwich,5.99
sgzt45325,sandwich,5.99
srz645t4gdet2,skinny latte,3.39
ujnb56,skinny latte,3.39
ujnb57,protein bar,2.49
uzr54367,skinny latte,3.39
uzr54367,protein bar,2.49
zj6425643h,coffee,2.29
zn72gsss,coffee,2.29
zn72gsss,donut,1.99
