gvkey,name,firm
1690,APPLE INC,Apple Inc
12141,MICROSOFT CORP,Microsoft
160329,ALPHABET INC,Alphabet
9899,AT&T INC,AT&T Inc
64768,AMAZON.COM INC,Amazon
2136,VERIZON COMMUNICATIONS INC,Verizon Communications
65662,CHINA MOBILE LTD,CHINA MOBILE LTD
3980,DISNEY (WALT) CO,DISNEY
170617,FACEBOOK INC,Facebook
20530,ALIBABA GROUP HLDG,Alibaba
6008,INTEL CORP,Intel Corp
6066,INTL BUSINESS MACHINES CORP,INTL BUSINESS MACHINES CORP
34496,TENCENT MUSIC ENNT GRP -ADR,Tencent
7908,NIPPON TELEGRAPH & TELEPHONE,Nippon Telegraph
20779,CISCO SYSTEMS INC,Cisco Systems
12142,ORACLE CORP,Oracle Corp
221616,DEUTSCHE TELEKOM,Deutsche Telekom
201395,TAIWAN SEMICONDUCTOR MFG CO,Taiwan Semiconductor
103487,SAP SE,SAP SE
13683,TELEFONICA SA,TELEFONICA SA
142248,AMERICA MOVIL SA DE CV,America Movil
14489,DELL TECHNOLOGIES INC,Dell Technologies
62489,ORANGE PLC,Orange PLC
254338,CHINA TELECOM CORP LTD,China Telecom
143357,ACCENTURE PLC,Accenture
180711,BROADCOM INC,BROADCOM INC
7343,MICRON TECHNOLOGY INC,Micron Technology
24800,QUALCOMM INC,Qualcomm
145471,PAYPAL INC,PAYPAL INC
137066,CHINA UNICOM (HONG KONG) LTD,China Unicom
5606,HP INC,HP INC
2137,BCE INC,BCE INC
1891,AUTOMATIC DATA PROCESSING,Automatic Data Processing
2411,BT GROUP PLC,BT Group
19043,MITSUBISHI ELECTRIC CORP,Mitsubishi Electric
2721,CANON INC,Canon
119314,BOOKING HOLDINGS INC,Booking Holdings
19744,JD.COM INC,JD.com
10499,TEXAS INSTRUMENTS INC,Texas Instruments
147579,NETFLIX INC,Netflix
8546,KONINKLIJKE PHILIPS NV,Philips NV
164532,BAIDU INC,Baidu
61214,ASML HOLDING NV,ASML Holding
157855,SALESFORCE.COM INC,Salesforce.com
1704,APPLIED MATERIALS INC,Applied Materials
12540,ADOBE INC,Adobe
210216,TELSTRA CORP LTD,Telstra
178083,VMWARE INC -CL A,VMware
177267,TE CONNECTIVITY LTD,TE Connectivity
111864,COGNIZANT TECH SOLUTIONS,Cognizant
117768,NVIDIA CORP,NVIDIA
114524,EBAY INC,EBAY INC
221612,TELENOR ASA,Telenor
14894,VODAFONE GROUP PLC,Vodafone
203480,SK TELECOM CO LTD,SK Telecom
101264,VIVENDI SA,Vivendi
206059,NASPERS LTD,Naspers
211009,INFOSYS LTD,Infosys
114927,SWISSCOM AG,Swisscom
3532,CORNING INC,CORNING INC
165993,FIDELITY NATIONAL INFO SVCS,FIDELITY NATIONAL INFO SVCS
9215,ROGERS COMMUNICATIONS  -CL B,Rogers Communications
102450,NINTENDO CO LTD,Nintendo
6512,KYOCERA CORP,Kyocera
184725,NXP SEMICONDUCTORS NV,NXP Semiconductors
60900,DISH NETWORK CORP,DISH Network
12485,ALTICE USA INC,Altice
2408,TELUS CORP,TELUS CORP
180405,ACTIVISION BLIZZARD INC,Activision Blizzard
1632,ANALOG DEVICES,Analog Devices
6565,LAM RESEARCH CORP,Lam Research
3336,DXC TECHNOLOGY CO,DXC Technology
137435,NETEASE INC,NetEase
23671,NOKIA CORP,Nokia
26590,FORTIVE CORP,Fortive
12635,FISERV INC,Fiserv
18467,FUJITSU LTD,Fujitsu
26156,HEWLETT PACKARD ENTERPRISE,Hewlett Packard Enterprise
