gvkey,year,name,ebit,mkvalt,sic,capx,ni,ibc,dp,at,dltt,dlc,seq,xrd,icapt,sale,sic2
1045,2019,AMERICAN AIRLINES GROUP INC,3706,12280.862,4512,4268,1686,1686,2318,59995,28875,4569,-118,,28757,45768,45
1050,2019,CECO ENVIRONMENTAL CORP,19.622,269.1494,3564,5.655,17.707,17.707,10.609,408.637,81.457,5.626,193.017,,274.474,341.869,35
1062,2019,ASA GOLD AND PRECIOUS METALS,,235.338,6799,,,,0,286.612,0,0,285.879,,285.879,,67
1062,2019,ASA GOLD AND PRECIOUS METALS,-1.173,235.338,6799,,91.431,,0,286.612,0,0,285.879,,285.879,2.371,67
1075,2019,PINNACLE WEST CAPITAL CORP,671.96,10111.3695,4911,1209.975,538.32,557.813,590.929,18479.247,4884.43,927.388,5430.648,,10437.618,3471.209,49
1076,2019,AARON'S INC,313.931,3810.265,7359,92.963,31.472,31.472,2077.419,3297.8,626.53,83.886,1737.259,,2363.789,3947.656,73
1078,2019,ABBOTT LABORATORIES,5041,153091.0106,3845,1638,3687,3687,3014,67887,17416,1683,31088,2440,48717,31904,38
1084,2019,WORLDS INC,-1.154,13.0675,7370,0,-1.234,-1.234,0,1.774,0,0.773,-1.445,,-1.445,0,73
1096,2019,MORGUARD CORP,474.645,2267.883,6500,471.882,186.939,188.796,36.152,11703.084,4986.278,919.871,3548.906,,9808.457,1192.973,65
1104,2019,ACME UNITED CORP,8.429,79.7203,3420,1.68,5.514,5.514,3.433,110.749,38.38,1.314,55.705,0.596,94.085,142.457,34
1117,2019,BK TECHNOLOGIES CORP,-4.385,39.0507,3663,2.455,-2.636,-2.636,1.219,37.94,2.934,0.447,23.276,9.803,26.21,40.1,36
1119,2019,ADAMS DIVERSIFIED EQUITY FD,,,6726,,,,,,,,,,,,67
1121,2019,ADAMS RESOURCES & ENERGY INC,7.8,161.2645,5172,35.743,8.207,8.207,16.641,330.842,11.699,4.419,151.641,,163.34,1811.247,51
1161,2019,ADVANCED MICRO DEVICES,583,53656.2,3674,217,341,341,142,6028,685,43,2827,1547,3512,6731,36
1166,2019,ASM INTERNATIONAL NV,246.43,,3559,54.658,369.213,369.213,82.556,2440.903,17.701,7.858,2040.859,124.389,2058.56,1262.075,35
1186,2019,AGNICO EAGLE MINES LTD,812.666,14762.9266,1040,882.664,473.166,473.166,554.576,8789.885,1466.243,374.693,5111.514,,6577.757,2494.892,10
1209,2019,AIR PRODUCTS & CHEMICALS INC,2120.5,48901.2719,2810,1989.7,1760,1809.4,1082.8,18942.8,3227.4,98.6,11053.6,72.9,14615.7,8918.9,28
1224,2019,ALABAMA GAS CORP,95.5,,4924,174.5,60.3,60.3,56.2,1743.6,372.2,168.7,830,,1202.2,465.5,49
1225,2019,ALABAMA POWER CO,1593,,4911,1757,1085,1085,793,29152,8377,301,9246,,17623,6125,49
1230,2019,ALASKA AIR GROUP INC,1107,8333.25,4512,696,769,769,423,12993,2703,504,4331,,7034,8781,45
1234,2019,ATRION CORP,40.529,1394.0325,3841,20.446,36.761,36.761,10.853,262.031,0.268,0.299,237.87,5.038,238.138,155.066,38
1254,2019,MATSON INC,108.3,1750.32,4400,310.3,82.7,82.7,97.4,2845.4,1108,115,805.7,,1913.7,2203.1,44
1257,2019,ALEXANDER'S INC,,1687.0975,6798,,,,31.351,1265.511,975.806,,253.515,,1229.321,,67
1257,2019,ALEXANDER'S INC,99.489,1687.0975,6798,0,60.075,60.075,0,1265.511,975.806,0,253.515,0,1229.321,226.35,67
1262,2019,ALGOMA CENTRAL CORP,57.561,493.238,4400,209.146,24.159,24.159,70.015,1147.377,255.094,80.135,660.421,,915.515,567.908,44
1266,2019,ALICO INC,29.828,254.3675,100,20,37.833,37.45,13.924,417.388,156.742,5.338,194.303,,356.14,122.251,1
1272,2019,ALL STATE PROPERTIES HLDGS,-0.014,1.1857,9995,0,-0.014,-0.014,0,0,0,0,-0.074,,-0.074,0,99
1274,2019,ALLEGHANY CORP,,,6331,,,,,26931.604,1992.213,,8776.734,,10973.7,,63
1274,2019,ALLEGHANY CORP,1208.593,,6331,47.572,857.801,890.201,119.513,26931.604,1992.213,0,8776.734,,10973.7,9025.716,63
1300,2019,HONEYWELL INTERNATIONAL INC,7397,125864.7,9997,839,6143,6230,1088,58679,11644,5063,18494,1556,30357,36709,99
1327,2019,SKYWORKS SOLUTIONS INC,1042.1,13480.425,3674,398.4,853.6,853.6,371.6,4839.6,0,0,4122.3,424.1,4122.3,3376.8,36
1352,2019,ARROW DOW JONES GLBL YLD ETF,,,6722,,,,,,,,,,,,67
1380,2019,HESS CORP,637,20374.0436,1311,2829,-408,-240,2139,21782,7733,199,8732,,17439,6495,13
1388,2019,AMERICAN AIRLINES INC,3688,,4512,4156,1972,1972,2268,71890,28072,4053,13422,,41494,45761,45
1397,2019,AMERICAN BILTRITE INC,-5.685,12.96,2670,5.212,-4.641,-4.57,4.647,132.568,4.662,1.539,37.761,,43.438,204.811,26
1410,2019,ABM INDUSTRIES INC,225.9,2427.1787,7340,59.6,127.4,127.5,107.4,3692.6,744.2,57.2,1542,,2286.2,6498.6,73
1414,2019,PRIMERICA INC,,5379.9859,6311,,,,18.3,13688.531,1611.988,,1652.491,,3453.476,,63
1414,2019,PRIMERICA INC,505.922,5379.9859,6311,25.437,366.391,366.391,18.3,13688.531,1611.988,0,1652.491,,3264.479,2052.504,63
1417,2019,INVESCO BOND FUND,,,6726,,,,,,,,,,,,67
1439,2019,US ECOLOGY INC,74.094,1821.9065,4955,58.1,33.14,33.14,61.302,2231.244,822.104,24.804,1011.38,,1833.484,685.509,49
1440,2019,AMERICAN ELECTRIC POWER CO,2592.3,46703.9122,4911,6143.7,1921.1,1919.8,2514.5,75892.3,26110.6,4728.7,19675.1,,46132.4,15561.4,49
1447,2019,AMERICAN EXPRESS CO,9582,100836.9,6141,1688,6759,6759,1188,198321,43003,22057,23071,,66074,47020,61
1447,2019,AMERICAN EXPRESS CO,,100836.9,6141,,,,1188,198321,43003,22057,23071,,66074,,61
1448,2019,AMERICAN EXPRESS CREDIT CORP,1385,,6153,0,418,418,0,37357,16161,16041,2587,,18748,1615,61
1449,2019,AFLAC INC,,38447.3497,6321,,,,40,152768,6565,4,28959,,40938,,63
